Frag,14685,14909,16834,17058,f,0,2149,2091,2142,0.97,99.67,0,0
Frag,14686,17020,14741,17075,f,0,55,25,46,0.45,83.64,0,0
Frag,14685,14909,16834,17058,f,0,2149,2091,2142,0.97,99.67,0,0
Frag,14686,17020,14741,17075,f,0,55,25,40,0.45,72.73,0,0
Frag,17640,14921,17684,14965,f,0,44,20,32,0.45,72.73,0,0
Frag,17653,17044,17706,17097,f,0,53,39,60,0.74,113.21,0,0
Frag,14685,14909,16834,17058,f,0,2149,2091,2142,0.97,99.67,0,0
Frag,14686,17020,14742,17076,f,0,56,26,41,0.46,73.21,0,0
Frag,17640,14921,17685,14966,f,0,45,21,33,0.47,73.33,0,0
Frag,17653,17044,17706,17097,f,0,53,39,66,0.74,124.53,0,0
Frag,17653,17044,17706,17097,f,0,53,39,66,0.74,124.53,0,0
Frag,14685,14909,16834,17058,f,0,2149,2093,2143,0.97,99.72,0,0
Frag,17653,17044,17706,17097,f,0,53,39,66,0.74,124.53,0,0
Frag,17653,17044,17706,17097,f,0,53,39,66,0.74,124.53,0,0
Frag,17653,17044,17706,17097,f,0,53,39,67,0.74,126.42,0,0
Frag,17653,17044,17706,17097,f,0,53,39,67,0.74,126.42,0,0
Frag,17653,17044,17706,17097,f,0,53,39,67,0.74,126.42,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,5224,0.97,117.84,0,0
Frag,17653,17044,17706,17097,f,0,53,39,67,0.74,126.42,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,4473,0.97,100.9,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,8356,0.98,143.7,0,0
Frag,0,206,2700,2906,f,0,2700,2626,2663,0.97,98.63,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,6761,0.98,116.27,0,0
Frag,7042,7251,8933,9142,f,0,1891,1791,3489,0.95,184.51,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,8356,0.98,143.7,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,5224,0.97,117.84,0,0
Frag,17653,17044,17706,17097,f,0,53,39,67,0.74,126.42,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,4473,0.97,100.9,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,8356,0.98,143.7,0,0
Frag,7042,7251,8933,9142,f,0,1891,1791,4086,0.95,216.08,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,6819,0.98,117.27,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,7735,0.98,133.02,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,6900,0.98,118.66,0,0
Frag,7042,7251,8933,9142,f,0,1891,1791,1881,0.95,99.47,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,5224,0.97,117.84,0,0
Frag,0,206,2700,2906,f,0,2700,2626,2663,0.97,98.63,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,6658,0.98,114.5,0,0
Frag,14685,14909,16834,17058,f,0,2149,2091,3067,0.97,142.72,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,6761,0.98,116.27,0,0
Frag,2693,2901,7126,7334,f,0,4433,4279,5058,0.97,114.1,0,0
Frag,7042,7251,8933,9142,f,0,1891,1791,3505,0.95,185.35,0,0
Frag,8885,9113,14700,14928,f,0,5815,5673,8356,0.98,143.7,0,0
